customer_age,tenure_years,monthly_charges,support_calls,contract_type,internet_service,payment_method,online_security,tech_support,churn
56,7,23.07,2,One year,Fiber optic,Credit card,Yes,Yes,0
69,5,45.77,0,Two year,No,Bank transfer,Yes,No,0
46,9,66.26,4,Two year,DSL,Credit card,No,Yes,0
32,6,106.83,1,One year,Fiber optic,Mailed check,No,No,0
60,7,92.72,5,Month-to-month,DSL,Credit card,Yes,Yes,1
25,1,94.27,1,Month-to-month,Fiber optic,Electronic check,No,Yes,1
38,9,62.55,1,Month-to-month,Fiber optic,Credit card,Yes,No,1
56,10,54.59,0,Month-to-month,DSL,Electronic check,No,No,0
36,7,57.1,2,Month-to-month,Fiber optic,Credit card,Yes,No,0
40,2,118.76,1,Month-to-month,DSL,Electronic check,Yes,No,0
28,6,24.01,1,Month-to-month,Fiber optic,Mailed check,Yes,No,0
28,2,106.7,4,Two year,Fiber optic,Electronic check,No,Yes,0
41,6,77.87,2,One year,DSL,Credit card,No,Yes,0
70,10,63.86,2,Two year,Fiber optic,Mailed check,No,No,0
53,1,92.53,5,One year,Fiber optic,Credit card,Yes,No,1
57,9,68.67,3,Month-to-month,Fiber optic,Mailed check,Yes,No,1
41,5,107.34,2,One year,DSL,Bank transfer,Yes,Yes,0
20,2,110.07,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
39,2,62.17,2,One year,No,Bank transfer,No,Yes,0
70,8,47.68,0,Month-to-month,DSL,Credit card,No,No,1
19,6,79.24,3,Two year,DSL,Credit card,Yes,No,1
41,4,111.24,2,Month-to-month,DSL,Mailed check,No,No,1
61,9,41.07,2,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0
47,6,82.3,3,Two year,DSL,Mailed check,No,No,1
55,8,83.16,1,Month-to-month,Fiber optic,Mailed check,Yes,No,0
19,0,93.31,3,One year,Fiber optic,Electronic check,No,Yes,0
38,6,33.16,0,One year,Fiber optic,Bank transfer,Yes,No,0
50,5,91.58,1,Two year,Fiber optic,Electronic check,Yes,Yes,0
